n,rels
"(:BankProductClass {meta.visibility: ""VALID"",updatedBy: ""fyndnauser"",createdBy: ""fyndnauser"",name: ""SA"",updatedOn: ""2023-11-09T09:43:07.612872000Z"",id: ""fc987543-9ebe-42b3-8fca-d95ab55a476c"",createdOn: ""2023-11-09T09:43:07.612872000Z""})",[[:SUCCESSOR]]
"(:BankProductClass {meta.visibility: ""VALID"",updatedBy: ""fyndnauser"",createdBy: ""fyndnauser"",name: ""Current Account"",updatedOn: ""2023-11-09T09:43:07.612967000Z"",id: ""f6e50fb1-4288-46e1-b4a2-f7fa98b3ddd9"",createdOn: ""2023-11-09T09:43:07.612967000Z""})",[[:SUCCESSOR]]
"(:BankProductClass {meta.visibility: ""VALID"",updatedBy: ""fyndnauser"",createdBy: ""fyndnauser"",name: ""Credit Card"",updatedOn: ""2023-11-09T09:43:07.613243000Z"",id: ""5defe901-06d4-49a8-805f-acf318993b6e"",createdOn: ""2023-11-09T09:43:07.613243000Z""})",[[:SUCCESSOR]]
"(:BankProductClass {meta.visibility: ""VALID"",updatedBy: ""fyndnauser"",createdBy: ""fyndnauser"",name: ""Loans"",updatedOn: ""2023-11-09T09:43:07.613263000Z"",id: ""fec985b4-1247-4171-8834-ed809aa89bea"",createdOn: ""2023-11-09T09:43:07.613263000Z""})",[[:SUCCESSOR]]
"(:GENERIC:HierarchyLevel {updatedBy: ""fyndnauser"",createdBy: ""fyndnauser"",levelType: ""GENERIC"",name: ""Savings"",updatedOn: ""2023-11-09T09:43:12.952340000Z"",id: ""b89e89a0-48cc-41a8-ab3f-607c3c1f23be"",visibility.originatingProducts: true,createdOn: ""2023-11-09T09:43:07.618896000Z""})","[[:PRODUCT_CATALOG {p3cName: ""CASA"",productProcessorName: ""Flexcube""}], [:SUCCESSOR], [:SUCCESSOR]]"
"(:GENERIC:HierarchyLevel {updatedBy: ""fyndnauser"",createdBy: ""fyndnauser"",levelType: ""GENERIC"",name: ""Savings Traditional"",updatedOn: ""2023-11-09T09:43:12.955827000Z"",id: ""6e58e642-b12d-4cfb-a996-643a54b2f90b"",createdOn: ""2023-11-09T09:43:07.623500000Z""})",[]
"(:GENERIC:HierarchyLevel {updatedBy: ""fyndnauser"",createdBy: ""fyndnauser"",levelType: ""GENERIC"",name: ""Savings Digital"",updatedOn: ""2023-11-09T09:43:12.958509000Z"",id: ""6790db43-ab10-4883-aad0-1d74636e3d89"",createdOn: ""2023-11-09T09:43:07.626830000Z""})",[]
"(:GENERIC:HierarchyLevel {updatedBy: ""fyndnauser"",createdBy: ""fyndnauser"",levelType: ""GENERIC"",name: ""Current Account"",updatedOn: ""2023-11-09T09:43:07.632689000Z"",id: ""01cff2ae-4bbe-435c-aee5-f54e28d7be0e"",visibility.originatingProducts: true,createdOn: ""2023-11-09T09:43:07.632689000Z""})",[[:SUCCESSOR]]
"(:GENERIC:HierarchyLevel {updatedBy: ""fyndnauser"",createdBy: ""fyndnauser"",levelType: ""GENERIC"",name: ""Checking Account"",updatedOn: ""2023-11-09T09:43:28.678004000Z"",id: ""6ca346ed-55e5-4cf2-a90e-bd49fb4e4e6d"",createdOn: ""2023-11-09T09:43:07.634937000Z""})","[[:PRODUCT_CATALOG {p3cName: ""CASA"",productProcessorName: ""Flexcube""}]]"
"(:GENERIC:HierarchyLevel {updatedBy: ""fyndnauser"",createdBy: ""fyndnauser"",levelType: ""GENERIC"",name: ""Credit Card"",updatedOn: ""2023-11-09T09:43:07.638938000Z"",id: ""238b1155-a111-4998-981b-53b8675ef2f1"",visibility.originatingProducts: true,createdOn: ""2023-11-09T09:43:07.638938000Z""})",[]
"(:GENERIC:HierarchyLevel {updatedBy: ""fyndnauser"",createdBy: ""fyndnauser"",levelType: ""GENERIC"",name: ""Loans"",updatedOn: ""2023-11-09T09:43:07.643674000Z"",id: ""dfc729b8-fd2b-4818-8a26-5839b58ab14b"",visibility.originatingProducts: true,createdOn: ""2023-11-09T09:43:07.643674000Z""})",[[:SUCCESSOR]]
"(:GENERIC:HierarchyLevel {updatedBy: ""fyndnauser"",createdBy: ""fyndnauser"",levelType: ""GENERIC"",name: ""Personal Loan"",updatedOn: ""2023-11-09T09:43:29.518232000Z"",id: ""c6f2549f-d347-44ea-bf96-074b30f8d2ea"",createdOn: ""2023-11-09T09:43:07.645798000Z""})","[[:PRODUCT_CATALOG {p3cName: ""Loans"",productProcessorName: ""Flexcube""}]]"
"(:ProductProcessorProductClassEvent {path: [""Flexcube"", ""CASA""],updatedBy: ""fyndnauser"",createdBy: ""fyndnauser"",updatedOn: ""2023-11-09T09:43:10.466765000Z"",id: ""b093a3e6-9653-4fa9-a76e-152cdcb26993"",createdOn: ""2023-11-09T09:43:10.466765000Z""})",[]
